"feature","enrich_group","ef_lda","pvalue","padj","short_feature"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica","Saliva",0.0111329774663578,1.0554984378494e-55,1.0554984378494e-55,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus","Saliva",0.00995259066431689,2.11561098854054e-42,2.11561098854054e-42,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_pasteri","Saliva",0.00895322957087446,4.6615597923304e-47,4.6615597923304e-47,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Selenomonadaceae","Saliva",0.00837140276111104,1.25859354030472e-42,1.25859354030472e-42,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica","Saliva",0.00807121011527521,2.22085415587842e-42,2.22085415587842e-42,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_uncultured","Saliva",0.00802208806204914,1.10192035365704e-39,1.10192035365704e-39,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae","Saliva",0.00769786561652413,6.31503935910758e-45,6.31503935910758e-45,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa","Saliva",0.00593480047090175,3.83625598495898e-29,3.83625598495898e-29,"k__Bacteria|p__Actinobacteriota|c__Actin"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium","Saliva",0.00576893258105057,3.18846136269728e-44,3.18846136269728e-44,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_unclassified","Saliva",0.00530989281303627,1.76460441628449e-26,1.76460441628449e-26,"k__Bacteria|p__Fusobacteriota|c__Fusobac"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014","Saliva",0.00524236298201237,2.91125171971233e-12,2.91125171971233e-12,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014","Saliva",0.0052109247363175,2.91125171971233e-12,2.91125171971233e-12,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius","Saliva",0.00518293709347513,2.51908289854113e-38,2.51908289854113e-38,"k__Bacteria|p__Firmicutes|c__Bacilli|o__"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014","Saliva",0.00516276021528106,2.91125171971233e-12,2.91125171971233e-12,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia","Saliva",0.00471096452235919,1.46757683388727e-37,1.46757683388727e-37,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Selenomonadaceae|g__Selenomonas","Saliva",0.0046934107952393,9.85054008116852e-39,9.85054008116852e-39,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_unclassified","Saliva",0.00463658226126574,1.48904716853918e-37,1.48904716853918e-37,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_unclassified","Saliva",0.00444944661703506,1.34041878412235e-33,1.34041878412235e-33,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_uncultured","Saliva",0.00436489258689397,2.27793821736192e-35,2.27793821736192e-35,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae","Saliva",0.00418377541202082,8.88741885481697e-14,8.88741885481697e-14,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_unclassified","Saliva",0.00409202185245939,9.34997417974548e-19,9.34997417974548e-19,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Patescibacteria|c__Gracilibacteria","Saliva",0.00407845120032579,4.48991897603121e-30,4.48991897603121e-30,"k__Bacteria|p__Patescibacteria|c__Gracil"
"k__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales_(SR1)|f__Absconditabacteriales_(SR1)|g__Absconditabacteriales_(SR1)|s__SR1_bacterium","Saliva",0.00401281037454003,3.13474499039512e-26,3.13474499039512e-26,"k__Bacteria|p__Patescibacteria|c__Gracil"
"k__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales_(SR1)","Saliva",0.00398248470023452,3.13474499039512e-26,3.13474499039512e-26,"k__Bacteria|p__Patescibacteria|c__Gracil"
"k__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales_(SR1)|f__Absconditabacteriales_(SR1)|g__Absconditabacteriales_(SR1)","Saliva",0.00378945182851297,3.13474499039512e-26,3.13474499039512e-26,"k__Bacteria|p__Patescibacteria|c__Gracil"
"k__Bacteria|p__Patescibacteria|c__Gracilibacteria|o__Absconditabacteriales_(SR1)|f__Absconditabacteriales_(SR1)","Saliva",0.00378839924347667,3.13474499039512e-26,3.13474499039512e-26,"k__Bacteria|p__Patescibacteria|c__Gracil"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella","Saliva",0.00376720676920479,6.58791452992688e-35,6.58791452992688e-35,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_unclassified","Saliva",0.00354429515419182,3.67433569450433e-21,3.67433569450433e-21,"k__Bacteria|p__Actinobacteriota|c__Corio"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_unclassified","Saliva",0.00346376991191873,4.07680216270357e-34,4.07680216270357e-34,"k__Bacteria|p__Firmicutes|c__Negativicut"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Peptostreptococcaceae","Saliva",0.00332547078566128,1.25343720739866e-11,1.25343720739866e-11,"k__Bacteria|p__Firmicutes|c__Clostridia|"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Peptostreptococcaceae|g__Peptostreptococcus","Saliva",0.00328425903412187,1.48234668333417e-13,1.48234668333417e-13,"k__Bacteria|p__Firmicutes|c__Clostridia|"
